Customer_Age ,Customer_income ,Home_ownership,Employment_length,Purpose_of_loan,Loan_risk_grade,Loan_amount ,Interest_rate,Loan_Status,Loan_amount_as_%_of_income,Previous_default_history,Credit_history_length,person_emp_length_clean,loan_int_rate_clean
28,84000,RENT,1,PERSONAL,B,12000,11.71,0,0.14,N,8,1,11.71
28,86004,MORTGAGE,12,VENTURE,B,3000,9.99,0,0.03,N,5,12,9.99
28,86304,MORTGAGE,12,DEBTCONSOLIDATION,A,6000,5.79,0,0.07,N,10,4,5.79
28,86400,MORTGAGE,,DEBTCONSOLIDATION,A,5000,7.9,0,0.06,N,8,0,7.9
28,86400,MORTGAGE,0,EDUCATION,D,16000,14.09,0,0.19,Y,6,0,14.09
28,86400,MORTGAGE,0,EDUCATION,A,5000,5.79,0,0.06,N,5,0,5.79
28,75000,MORTGAGE,11,PERSONAL,A,3000,7.9,1,0.04,N,8,11,7.9
28,36000,OWN,0,EDUCATION,C,2350,12.99,0,0.07,Y,5,0,12.99
28,88365,RENT,9,EDUCATION,D,12000,16.29,0,0.14,N,6,9,16.29
28,90000,RENT,12,MEDICAL,C,12000,14.65,0,0.13,N,7,12,14.65
28,87504,MORTGAGE,2,PERSONAL,D,12000,15.21,0,0.14,Y,10,2,15.21
28,87600,OWN,12,VENTURE,C,12000,12.99,0,0.14,N,6,12,12.99
28,87950,MORTGAGE,12,PERSONAL,B,24000,10.75,0,0.27,N,7,12,10.75
28,76000,MORTGAGE,12,HOMEIMPROVEMENT,A,5000,8.94,1,0.07,N,5,12,8.94
28,99996,RENT,6,VENTURE,C,12000,13.61,0,0.12,Y,9,6,13.61
28,65450,MORTGAGE,5,MEDICAL,D,15000,16.89,1,0.19,N,9,5,16.89
28,89602,MORTGAGE,4,VENTURE,A,4800,5.42,0,0.05,N,8,4,5.42
28,90000,MORTGAGE,13,HOMEIMPROVEMENT,A,1800,7.51,0,0.02,N,5,13,7.51
28,140000,RENT,3,DEBTCONSOLIDATION,B,12000,9.91,0,0.09,N,10,3,9.91
28,140000,RENT,9,HOMEIMPROVEMENT,A,12000,7.88,0,0.09,N,7,9,7.88
28,150086,RENT,5,MEDICAL,A,12000,6.54,0,0.08,N,9,5,6.54
28,170000,RENT,1,HOMEIMPROVEMENT,A,12000,5.79,0,0.07,N,6,1,5.79
28,90000,MORTGAGE,12,HOMEIMPROVEMENT,C,5000,14.79,0,0.06,Y,8,12,14.79
28,28800,RENT,1,VENTURE,B,12250,10.59,1,0.43,N,9,1,10.59
28,42000,RENT,9,MEDICAL,D,12250,14.59,1,0.29,N,10,9,14.59
28,78000,MORTGAGE,4,VENTURE,D,10000,15.99,1,0.13,Y,7,4,15.99
28,90000,MORTGAGE,3,MEDICAL,B,21000,10.74,0,0.23,N,7,3,10.74
28,90000,OWN,5,HOMEIMPROVEMENT,D,20000,15.28,0,0.22,Y,6,5,15.28
28,35000,RENT,2,EDUCATION,C,12500,,1,0.36,N,10,2,13.48
28,90000,MORTGAGE,12,EDUCATION,A,5325,7.88,0,0.06,N,10,12,7.88
28,90000,MORTGAGE,0,MEDICAL,A,15000,7.88,0,0.17,N,6,0,7.88
28,90000,MORTGAGE,5,VENTURE,B,25000,11.86,0,0.28,N,6,5,11.86
28,45000,RENT,3,EDUCATION,C,2800,,0,0.06,N,8,3,13.48
28,39600,RENT,2,VENTURE,E,2800,16.77,1,0.07,Y,7,2,16.77
28,90000,MORTGAGE,5,VENTURE,D,13600,16.32,0,0.15,Y,7,5,16.32
28,47000,RENT,4,PERSONAL,A,2800,6.99,0,0.06,N,7,4,6.99
28,78000,MORTGAGE,4,HOMEIMPROVEMENT,B,24000,10.25,1,0.31,N,8,4,10.25
28,90000,MORTGAGE,12,EDUCATION,B,21000,11.36,0,0.23,N,8,12,11.36
28,90000,MORTGAGE,7,HOMEIMPROVEMENT,E,17600,16.35,0,0.2,Y,5,7,16.35
28,90000,OWN,7,MEDICAL,C,8400,12.87,0,0.09,N,8,7,12.87
28,90000,MORTGAGE,12,HOMEIMPROVEMENT,C,12000,13.92,0,0.13,N,6,12,13.92
28,78000,MORTGAGE,12,HOMEIMPROVEMENT,B,24000,11.83,1,0.31,N,7,12,11.83
28,66300,MORTGAGE,11,MEDICAL,D,12000,14.11,1,0.15,N,6,11,14.11
28,78000,MORTGAGE,11,DEBTCONSOLIDATION,E,12000,16.95,1,0.15,Y,7,11,16.95
28,90000,MORTGAGE,9,DEBTCONSOLIDATION,A,4000,8,0,0.04,N,6,9,8
28,90000,MORTGAGE,7,EDUCATION,A,12000,8.32,0,0.13,N,8,7,8.32
28,90080,MORTGAGE,9,MEDICAL,A,5500,7.49,0,0.06,N,7,9,7.49
28,90522,MORTGAGE,4,DEBTCONSOLIDATION,A,12000,6.91,0,0.13,N,9,4,6.91
28,90700,MORTGAGE,11,HOMEIMPROVEMENT,A,20000,6.91,0,0.22,N,8,11,6.91
28,90722,MORTGAGE,7,HOMEIMPROVEMENT,B,18000,10.99,0,0.2,N,5,7,10.99
28,91000,OWN,11,VENTURE,A,7000,6.99,0,0.08,N,6,11,6.99
28,91000,MORTGAGE,12,MEDICAL,C,21000,13.35,0,0.23,Y,6,12,13.35
28,48000,RENT,1,VENTURE,B,2650,11.26,0,0.06,N,6,1,11.26
28,91000,MORTGAGE,6,PERSONAL,B,15000,9.88,0,0.16,N,9,6,9.88
28,32000,RENT,0,DEBTCONSOLIDATION,C,2600,13.49,0,0.08,N,8,0,13.49
28,34000,RENT,0,PERSONAL,D,2600,15.62,1,0.08,N,9,0,15.62
28,92000,MORTGAGE,0,EDUCATION,C,6000,,0,0.07,N,7,0,13.48
28,92000,MORTGAGE,11,EDUCATION,F,25000,19.29,0,0.27,Y,9,11,19.29
28,92000,MORTGAGE,5,VENTURE,A,6000,6.76,0,0.07,N,9,5,6.76
28,68000,MORTGAGE,12,MEDICAL,F,24500,18.3,1,0.31,Y,6,3,18.3
28,16560,RENT,,PERSONAL,A,2500,6.99,0,0.15,N,10,0,6.99
28,92004,MORTGAGE,2,VENTURE,A,7000,9.63,0,0.08,N,8,2,9.63
28,34800,OWN,1,VENTURE,C,10000,12.99,0,0.29,N,9,1,12.99
28,48000,RENT,12,PERSONAL,D,12500,15.95,0,0.26,N,7,12,15.95
28,92800,MORTGAGE,0,MEDICAL,A,12500,9.63,0,0.13,N,9,0,9.63
28,58000,RENT,3,EDUCATION,B,12500,11.71,0,0.22,N,7,3,11.71
28,150000,RENT,1,MEDICAL,C,12500,14.35,0,0.08,Y,8,4,14.35
28,93600,MORTGAGE,,PERSONAL,A,35000,8.49,0,0.37,N,6,0,8.49
28,54000,RENT,5,DEBTCONSOLIDATION,B,12700,11.71,1,0.24,N,7,5,11.71
28,62000,RENT,2,MEDICAL,C,12800,13.16,0,0.21,Y,5,2,13.16
28,70000,RENT,0,DEBTCONSOLIDATION,C,12800,13.57,0,0.18,N,6,0,13.57
28,95000,MORTGAGE,13,VENTURE,B,15000,9.91,0,0.16,N,7,13,9.91
28,95000,MORTGAGE,12,HOMEIMPROVEMENT,A,3500,6.03,0,0.04,N,7,12,6.03
28,95000,OWN,3,VENTURE,B,4800,11.71,0,0.05,N,10,3,11.71
28,95000,MORTGAGE,5,DEBTCONSOLIDATION,A,23450,7.9,0,0.25,N,5,5,7.9
28,55000,RENT,10,EDUCATION,B,13000,10.99,0,0.24,N,8,10,10.99
28,95000,MORTGAGE,0,MEDICAL,C,11000,13.06,0,0.12,Y,9,0,13.06
28,95000,MORTGAGE,12,EDUCATION,B,35000,9.63,0,0.37,N,5,12,9.63
28,54000,RENT,2,EDUCATION,C,13000,15.23,1,0.24,N,9,2,15.23
28,62496,RENT,1,DEBTCONSOLIDATION,B,13000,10.37,0,0.21,N,8,1,10.37
28,95000,OWN,4,HOMEIMPROVEMENT,B,25000,9.62,0,0.26,N,8,4,9.62
28,95000,MORTGAGE,9,MEDICAL,C,5000,,0,0.05,Y,7,9,13.48
28,95000,MORTGAGE,0,HOMEIMPROVEMENT,A,5000,7.51,0,0.05,N,5,0,7.51
28,95000,MORTGAGE,5,VENTURE,A,5000,7.88,0,0.05,N,7,5,7.88
28,95000,MORTGAGE,5,EDUCATION,C,12000,13.11,0,0.13,N,9,5,13.11
28,95000,MORTGAGE,0,DEBTCONSOLIDATION,A,18000,7.88,0,0.19,N,10,0,7.88
28,95000,MORTGAGE,0,MEDICAL,B,4500,10.99,0,0.05,N,7,0,10.99
28,70000,RENT,0,MEDICAL,B,13000,12.18,0,0.19,N,7,0,12.18
28,95680,MORTGAGE,12,VENTURE,A,17000,7.88,0,0.18,N,7,12,7.88
28,95827,MORTGAGE,11,EDUCATION,E,16000,14.5,0,0.17,N,7,11,14.5
28,96000,MORTGAGE,5,HOMEIMPROVEMENT,D,11250,17.58,0,0.12,N,5,5,17.58
28,96000,MORTGAGE,12,PERSONAL,B,6000,12.69,0,0.06,N,10,12,12.69
28,84000,MORTGAGE,1,DEBTCONSOLIDATION,D,3000,15.99,1,0.04,Y,6,1,15.99
28,96000,OWN,12,PERSONAL,B,3000,9.63,0,0.03,N,7,12,9.63
28,33000,OWN,1,HOMEIMPROVEMENT,D,7500,15.31,0,0.23,Y,6,1,15.31
28,96000,MORTGAGE,8,VENTURE,A,10000,7.66,0,0.1,N,7,8,7.66
28,57936,RENT,2,MEDICAL,D,13650,14.42,1,0.24,N,10,2,14.42
28,55000,RENT,2,MEDICAL,B,13800,11.83,0,0.25,N,6,2,11.83
28,41400,RENT,2,DEBTCONSOLIDATION,C,14000,13.48,1,0.34,N,6,2,13.48
28,96000,OWN,13,EDUCATION,C,15000,13.47,0,0.16,N,6,13,13.47
28,42900,RENT,3,PERSONAL,B,14000,11.14,1,0.33,N,5,4,11.14
28,96120,MORTGAGE,,VENTURE,B,15000,10,0,0.16,N,9,0,10
28,37000,RENT,0,DEBTCONSOLIDATION,D,14000,14.42,1,0.38,N,10,0,14.42
28,44049,RENT,3,VENTURE,B,14000,,1,0.32,N,8,3,10.99
28,39000,RENT,6,EDUCATION,A,14000,7.9,1,0.36,N,8,6,7.9
28,96636,MORTGAGE,10,MEDICAL,A,30000,8.49,0,0.31,N,5,10,8.49
28,97000,MORTGAGE,6,DEBTCONSOLIDATION,A,6000,7.49,0,0.06,N,10,6,7.49
28,97000,MORTGAGE,9,VENTURE,A,12000,8.49,0,0.12,N,5,9,8.49
28,50000,RENT,2,VENTURE,A,14000,6.54,0,0.28,N,6,2,6.54
28,97296,MORTGAGE,12,HOMEIMPROVEMENT,B,6500,12.42,0,0.07,N,8,12,12.42
28,44000,RENT,7,DEBTCONSOLIDATION,F,14000,19.04,1,0.32,N,10,7,19.04
28,50000,RENT,7,VENTURE,C,14000,13.79,0,0.28,Y,6,7,13.79
28,98000,MORTGAGE,6,MEDICAL,A,1000,7.74,0,0.01,N,9,6,7.74
28,98400,MORTGAGE,12,PERSONAL,A,1500,5.42,0,0.02,N,5,12,5.42
28,98400,MORTGAGE,12,VENTURE,D,20000,14.84,0,0.2,Y,9,12,14.84
28,99000,OWN,11,HOMEIMPROVEMENT,A,8000,,0,0.08,N,7,11,7.49
28,99000,MORTGAGE,12,VENTURE,B,18000,9.76,0,0.18,N,7,12,9.76
28,99400,MORTGAGE,6,MEDICAL,B,4800,,0,0.05,N,7,6,10.99
28,99518,MORTGAGE,10,DEBTCONSOLIDATION,A,6500,5.99,0,0.07,N,6,10,5.99
28,99996,MORTGAGE,6,VENTURE,A,10000,5.42,0,0.1,N,8,6,5.42
28,62400,RENT,2,VENTURE,B,14000,10.99,0,0.22,N,10,2,10.99
28,100000,OWN,13,VENTURE,C,2000,14.27,0,0.02,Y,5,13,14.27
28,31200,OWN,0,EDUCATION,A,4350,5.99,0,0.14,N,5,0,5.99
28,100000,MORTGAGE,6,DEBTCONSOLIDATION,B,10000,,0,0.1,N,5,6,10.99
28,100000,MORTGAGE,4,DEBTCONSOLIDATION,A,7000,8.9,0,0.07,N,10,4,8.9
28,100000,MORTGAGE,2,EDUCATION,A,4000,7.49,0,0.04,N,8,2,7.49
28,100000,MORTGAGE,0,VENTURE,C,18000,13.99,0,0.18,Y,6,0,13.99
28,100000,MORTGAGE,12,DEBTCONSOLIDATION,B,12000,10.99,0,0.12,N,8,12,10.99
28,80000,RENT,8,VENTURE,D,14000,14.91,0,0.17,N,5,8,14.91
28,31000,OWN,0,HOMEIMPROVEMENT,A,1000,7.4,0,0.03,N,8,0,7.4
28,100000,OWN,7,HOMEIMPROVEMENT,C,20000,12.68,0,0.2,Y,6,7,12.68
28,85000,RENT,6,PERSONAL,C,14000,14.65,0,0.16,Y,9,6,14.65
28,100000,MORTGAGE,0,EDUCATION,A,3950,,0,0.04,N,5,0,7.49
28,100000,MORTGAGE,12,PERSONAL,A,10000,5.42,0,0.1,N,8,12,5.42
28,100000,MORTGAGE,3,MEDICAL,C,8000,13.98,0,0.08,Y,6,3,13.98
28,100000,OWN,5,VENTURE,C,11000,13.61,0,0.11,Y,8,5,13.61
28,100000,MORTGAGE,13,HOMEIMPROVEMENT,A,12000,7.88,0,0.12,N,8,13,7.88
28,100000,MORTGAGE,13,VENTURE,A,13000,8.59,0,0.13,N,5,13,8.59
28,100000,OWN,7,MEDICAL,C,18000,13.92,0,0.18,Y,9,7,13.92
28,100000,MORTGAGE,6,MEDICAL,B,24000,11.48,0,0.24,N,9,6,11.48
28,100000,MORTGAGE,3,VENTURE,B,5300,11.14,0,0.05,N,5,3,11.14
28,100000,MORTGAGE,4,VENTURE,B,20000,11.48,0,0.2,N,5,4,11.48
28,30000,RENT,0,DEBTCONSOLIDATION,D,14125,14.74,1,0.47,N,10,0,14.74
28,100000,MORTGAGE,3,EDUCATION,C,10000,12.84,0,0.1,Y,5,3,12.84
28,100000,MORTGAGE,2,PERSONAL,A,13500,9.38,0,0.14,N,9,2,9.38
28,46400,RENT,6,DEBTCONSOLIDATION,C,14125,,0,0.3,N,5,6,13.48
28,101000,MORTGAGE,4,EDUCATION,B,5000,9.91,0,0.05,N,5,4,9.91
28,101000,MORTGAGE,8,MEDICAL,A,15000,8.94,0,0.15,N,9,8,8.94
28,101000,MORTGAGE,7,PERSONAL,A,6000,8.32,0,0.06,N,9,7,8.32
28,102000,MORTGAGE,0,PERSONAL,A,10000,5.99,0,0.1,N,10,0,5.99
28,65000,RENT,7,MEDICAL,B,14400,11.14,0,0.22,N,5,7,11.14
28,102000,MORTGAGE,2,VENTURE,B,10000,12.18,0,0.1,N,7,2,12.18
28,102058,MORTGAGE,13,EDUCATION,C,15000,13.92,0,0.15,Y,8,13,13.92
28,73500,RENT,0,HOMEIMPROVEMENT,C,14400,12.98,0,0.2,Y,6,0,12.98
28,102500,MORTGAGE,12,MEDICAL,A,6000,5.79,0,0.06,N,8,12,5.79
28,103000,MORTGAGE,2,EDUCATION,A,5000,5.42,0,0.05,N,5,2,5.42
28,103000,MORTGAGE,4,VENTURE,A,10000,7.51,0,0.1,N,10,4,7.51
28,103200,MORTGAGE,7,EDUCATION,B,9000,9.88,0,0.09,N,6,7,9.88
28,85000,RENT,1,EDUCATION,A,14400,9.07,0,0.17,N,8,4,9.07
28,103800,MORTGAGE,,MEDICAL,C,10000,14.27,0,0.1,Y,8,0,14.27
28,103992,MORTGAGE,3,PERSONAL,B,18000,10.99,0,0.17,N,7,3,10.99
28,100000,RENT,10,HOMEIMPROVEMENT,C,14400,13.85,0,0.14,N,9,10,13.85
28,104000,MORTGAGE,12,PERSONAL,D,20000,,0,0.19,N,9,12,15.31
28,92000,MORTGAGE,8,PERSONAL,C,7750,14.22,1,0.08,N,6,8,14.22
28,30000,RENT,1,MEDICAL,B,14500,11.14,1,0.48,N,8,1,11.14
28,105000,MORTGAGE,12,EDUCATION,A,7000,,0,0.07,N,10,12,7.49
28,105000,MORTGAGE,8,VENTURE,B,12000,9.63,0,0.11,N,10,8,9.63
28,105000,MORTGAGE,1,DEBTCONSOLIDATION,A,24000,,0,0.23,N,6,1,7.49
28,105000,MORTGAGE,1,MEDICAL,B,25000,11.12,0,0.24,N,9,4,11.12
28,76113,RENT,,HOMEIMPROVEMENT,C,14500,12.61,1,0.19,N,7,0,12.61
28,105000,MORTGAGE,0,VENTURE,B,19000,12.21,0,0.18,N,6,0,12.21
28,28800,RENT,1,EDUCATION,C,15000,14.65,1,0.52,Y,8,1,14.65
28,28896,RENT,6,PERSONAL,C,15000,13.48,1,0.52,Y,8,6,13.48
28,31200,RENT,5,MEDICAL,B,15000,11.83,1,0.48,N,9,5,11.83
28,106358,MORTGAGE,5,EDUCATION,A,13125,7.66,0,0.12,N,7,5,7.66
28,32568,RENT,3,EDUCATION,D,15000,,1,0.46,N,9,3,15.31
28,107364,MORTGAGE,12,HOMEIMPROVEMENT,A,8000,6.76,0,0.07,N,9,12,6.76
28,108000,MORTGAGE,6,EDUCATION,B,27400,10.99,0,0.25,N,7,6,10.99
28,108000,MORTGAGE,4,DEBTCONSOLIDATION,B,10000,10.74,0,0.09,N,6,4,10.74
28,108000,MORTGAGE,4,HOMEIMPROVEMENT,C,5000,12.87,0,0.05,Y,9,4,12.87
28,108041,MORTGAGE,6,EDUCATION,C,5600,13.98,0,0.05,Y,7,6,13.98
28,109200,MORTGAGE,12,PERSONAL,B,8000,11.12,0,0.07,N,6,12,11.12
28,33000,RENT,10,PERSONAL,A,15000,,1,0.45,N,6,10,7.49
28,110000,MORTGAGE,12,MEDICAL,A,6000,6.03,0,0.05,N,5,12,6.03
28,110000,MORTGAGE,0,HOMEIMPROVEMENT,B,6000,10.65,0,0.05,N,8,0,10.65
28,110000,MORTGAGE,12,VENTURE,A,17000,6.03,0,0.15,N,7,12,6.03
28,110000,MORTGAGE,12,PERSONAL,B,22400,,0,0.2,N,6,12,10.99
28,42000,RENT,3,DEBTCONSOLIDATION,B,2000,11.49,0,0.05,N,5,3,11.49
28,110000,OWN,1,HOMEIMPROVEMENT,E,5000,17.51,0,0.05,N,10,1,17.51
28,110000,MORTGAGE,3,VENTURE,A,11000,5.79,0,0.1,N,7,3,5.79
28,110000,MORTGAGE,12,VENTURE,B,15000,10,0,0.14,N,10,12,10
28,110000,MORTGAGE,8,HOMEIMPROVEMENT,A,15000,6.54,0,0.14,N,6,8,6.54
28,110000,MORTGAGE,12,HOMEIMPROVEMENT,B,3500,11.49,0,0.03,N,10,12,11.49
28,110000,MORTGAGE,7,HOMEIMPROVEMENT,B,10750,11.86,0,0.1,N,9,7,11.86
28,110000,MORTGAGE,12,DEBTCONSOLIDATION,A,4800,7.51,0,0.04,N,9,12,7.51
28,42000,RENT,4,DEBTCONSOLIDATION,D,2000,14.96,1,0.05,Y,6,4,14.96
28,48000,RENT,9,EDUCATION,A,2000,7.68,0,0.04,N,7,9,7.68
28,110000,MORTGAGE,1,EDUCATION,A,12000,8.94,0,0.11,N,10,1,8.94
28,110000,MORTGAGE,0,VENTURE,E,15000,16.32,0,0.14,Y,5,0,16.32
28,110000,MORTGAGE,12,PERSONAL,A,5000,9.63,0,0.05,N,9,12,9.63
28,110004,MORTGAGE,2,HOMEIMPROVEMENT,B,15000,,0,0.14,N,6,2,10.99
28,110244,MORTGAGE,3,HOMEIMPROVEMENT,D,18000,12.17,0,0.16,N,10,4,12.17
28,30144,RENT,,EDUCATION,D,15000,15.95,1,0.5,Y,7,0,15.95
28,100000,MORTGAGE,4,VENTURE,D,25000,,1,0.25,N,6,4,15.31
28,112000,MORTGAGE,9,HOMEIMPROVEMENT,B,15000,11.12,0,0.13,N,7,9,11.12
28,112200,MORTGAGE,10,VENTURE,A,6800,5.79,0,0.06,N,5,10,5.79
28,40500,RENT,9,DEBTCONSOLIDATION,A,15000,7.88,1,0.37,N,5,9,7.88
28,27600,OWN,2,HOMEIMPROVEMENT,A,6000,8.9,0,0.22,N,8,2,8.9
28,113300,MORTGAGE,12,VENTURE,C,18000,12.99,0,0.16,N,6,12,12.99
28,114000,MORTGAGE,12,VENTURE,E,8000,18.64,0,0.07,N,10,12,18.64
28,114000,MORTGAGE,4,DEBTCONSOLIDATION,A,12000,,0,0.11,N,5,4,7.49
28,114000,MORTGAGE,13,HOMEIMPROVEMENT,A,26000,8.49,0,0.23,N,5,13,8.49
28,27504,OWN,4,PERSONAL,B,2000,11.12,0,0.07,N,8,4,11.12
28,114400,MORTGAGE,0,PERSONAL,A,12000,7.29,0,0.1,N,6,0,7.29
28,115000,MORTGAGE,12,EDUCATION,A,22000,7.51,0,0.19,N,7,12,7.51
28,44104,RENT,4,VENTURE,B,15000,,1,0.34,N,10,4,10.99
28,115000,MORTGAGE,11,HOMEIMPROVEMENT,A,5000,7.51,0,0.04,N,8,11,7.51
28,115000,MORTGAGE,3,MEDICAL,A,18500,,0,0.16,N,7,3,7.49
28,115000,MORTGAGE,8,MEDICAL,A,28000,,0,0.24,N,5,8,7.49
28,115000,MORTGAGE,2,PERSONAL,B,18000,10.59,0,0.16,N,10,2,10.59
28,115000,MORTGAGE,3,HOMEIMPROVEMENT,A,25000,7.49,0,0.22,N,6,3,7.49
28,115000,MORTGAGE,3,PERSONAL,C,4500,12.68,0,0.04,N,7,3,12.68
28,103000,MORTGAGE,12,HOMEIMPROVEMENT,C,20000,14.17,1,0.19,Y,9,12,14.17
28,115000,MORTGAGE,12,DEBTCONSOLIDATION,B,18000,10.37,0,0.16,N,7,12,10.37
28,115000,MORTGAGE,12,VENTURE,C,16000,13.85,0,0.14,Y,8,12,13.85
28,115000,MORTGAGE,6,HOMEIMPROVEMENT,A,10000,8,0,0.09,N,8,6,8
28,116000,OWN,7,VENTURE,C,12000,13.49,0,0.1,Y,6,7,13.49
28,116000,MORTGAGE,12,VENTURE,A,14000,7.51,0,0.12,N,6,12,7.51
28,116000,MORTGAGE,10,MEDICAL,B,25000,12.18,0,0.22,N,10,10,12.18
28,47881,RENT,12,DEBTCONSOLIDATION,B,15000,,1,0.31,N,7,12,10.99
28,48000,RENT,5,PERSONAL,B,15000,11.99,1,0.31,N,7,5,11.99
28,119000,MORTGAGE,2,MEDICAL,B,5325,10.38,0,0.04,N,7,2,10.38
28,26000,OWN,3,HOMEIMPROVEMENT,A,2500,7.49,0,0.1,N,8,3,7.49
28,48500,RENT,0,MEDICAL,C,15000,12.99,1,0.31,Y,7,0,12.99
28,48500,RENT,4,PERSONAL,C,15000,12.87,1,0.31,Y,8,4,12.87
28,120000,OWN,7,VENTURE,B,5000,10.65,0,0.04,N,6,7,10.65
28,50000,RENT,4,PERSONAL,A,15000,7.49,0,0.3,N,6,4,7.49
28,120000,MORTGAGE,3,MEDICAL,A,14500,5.42,0,0.12,N,8,3,5.42
28,91800,MORTGAGE,6,MEDICAL,D,10000,16.89,1,0.09,Y,8,6,16.89
28,120000,MORTGAGE,4,PERSONAL,D,8000,15.62,0,0.07,N,7,4,15.62
28,50000,RENT,1,EDUCATION,C,15000,10.28,0,0.3,N,5,1,10.28
28,120000,MORTGAGE,11,EDUCATION,B,14400,10.74,0,0.12,N,10,11,10.74
28,120000,MORTGAGE,11,HOMEIMPROVEMENT,C,5000,13.06,0,0.04,N,5,11,13.06
28,120000,MORTGAGE,12,EDUCATION,A,10000,5.42,0,0.08,N,6,12,5.42
28,91800,MORTGAGE,4,MEDICAL,D,20000,15.28,1,0.19,N,6,4,15.28
28,120000,MORTGAGE,5,MEDICAL,C,22000,13.72,0,0.18,Y,6,5,13.72
28,120000,OWN,1,PERSONAL,D,3600,14.84,0,0.03,N,9,1,14.84
28,120000,MORTGAGE,0,PERSONAL,B,20000,,0,0.17,N,5,0,10.99
28,24000,RENT,0,MEDICAL,D,1600,15.05,1,0.07,N,5,0,15.05
28,120000,MORTGAGE,12,HOMEIMPROVEMENT,A,6000,7.74,0,0.05,N,5,12,7.74
28,91800,MORTGAGE,1,MEDICAL,D,15000,15.37,1,0.14,Y,8,1,15.37
28,120000,MORTGAGE,12,VENTURE,B,20000,9.45,0,0.17,N,10,12,9.45
28,120000,MORTGAGE,0,EDUCATION,A,1000,7.12,0,0.01,N,5,0,7.12
28,121008,MORTGAGE,0,PERSONAL,A,5400,5.99,0,0.04,N,6,0,5.99
28,92801,MORTGAGE,12,MEDICAL,D,20000,14.74,1,0.18,Y,8,12,14.74
28,122000,MORTGAGE,11,VENTURE,D,15000,16.77,0,0.12,Y,5,11,16.77
28,111000,MORTGAGE,12,DEBTCONSOLIDATION,F,25000,19.79,1,0.23,N,5,12,19.79
28,123000,OWN,7,PERSONAL,A,4000,8.59,0,0.03,N,5,7,8.59
28,123504,MORTGAGE,12,VENTURE,B,18000,,0,0.15,N,7,12,10.99
28,124800,MORTGAGE,1,VENTURE,C,15000,12.53,0,0.12,Y,5,1,12.53
28,125000,MORTGAGE,12,PERSONAL,A,30000,7.51,0,0.24,N,5,12,7.51
28,22968,RENT,4,MEDICAL,A,1500,6.03,0,0.07,N,7,4,6.03
28,24840,RENT,2,EDUCATION,A,1500,8,1,0.06,N,5,2,8
28,125000,MORTGAGE,0,VENTURE,A,7500,7.49,0,0.06,N,7,0,7.49
28,54996,RENT,8,PERSONAL,D,15000,14.09,0,0.27,Y,9,8,14.09
28,125000,OWN,4,PERSONAL,A,10000,7.51,0,0.08,N,8,4,7.51
28,113000,MORTGAGE,1,PERSONAL,F,13200,18.67,1,0.12,N,10,1,18.67
28,55000,RENT,3,HOMEIMPROVEMENT,E,15000,17.06,0,0.27,Y,5,3,17.06
28,24000,OWN,,VENTURE,A,3000,6.91,0,0.13,N,5,0,6.91
28,125000,MORTGAGE,13,VENTURE,B,15000,10.25,0,0.12,N,7,13,10.25
28,50000,RENT,4,DEBTCONSOLIDATION,D,15000,14.91,1,0.3,N,7,4,14.91
28,125000,MORTGAGE,8,EDUCATION,B,8000,11.14,0,0.06,N,10,8,11.14
28,56496,RENT,0,DEBTCONSOLIDATION,C,15000,12.61,0,0.27,N,10,0,12.61
28,125004,MORTGAGE,9,PERSONAL,A,12000,7.14,0,0.1,N,5,9,7.14
28,125600,MORTGAGE,0,PERSONAL,A,13800,7.88,0,0.11,N,6,0,7.88
28,126000,MORTGAGE,2,HOMEIMPROVEMENT,B,12000,11.71,0,0.1,N,7,2,11.71
28,126000,MORTGAGE,12,VENTURE,B,2000,9.99,0,0.02,N,10,12,9.99
28,127000,MORTGAGE,9,DEBTCONSOLIDATION,C,8400,12.87,0,0.07,N,7,9,12.87
28,128400,MORTGAGE,3,PERSONAL,C,4000,13.35,0,0.03,Y,8,3,13.35
28,118000,MORTGAGE,6,PERSONAL,G,25000,20.11,1,0.21,Y,6,6,20.11
28,61000,RENT,12,HOMEIMPROVEMENT,C,15000,13.99,0,0.25,N,7,12,13.99
28,130000,MORTGAGE,12,PERSONAL,B,13000,10.75,0,0.1,N,10,12,10.75
28,61500,RENT,2,MEDICAL,B,15000,10.37,0,0.24,N,6,2,10.37
28,62000,RENT,0,EDUCATION,A,15000,7.9,0,0.24,N,8,0,7.9
28,130000,OWN,10,EDUCATION,B,24000,11.83,0,0.18,N,10,10,11.83
28,130000,MORTGAGE,1,EDUCATION,D,5600,15.65,0,0.04,N,9,1,15.65
28,57000,RENT,2,VENTURE,D,15000,14.11,1,0.26,N,10,2,14.11
28,130000,MORTGAGE,0,EDUCATION,A,9000,8,0,0.07,N,6,0,8
28,130000,MORTGAGE,2,HOMEIMPROVEMENT,D,12000,13.55,0,0.09,Y,8,2,13.55
28,65000,RENT,13,HOMEIMPROVEMENT,A,15000,7.51,0,0.23,N,6,13,7.51
28,131004,MORTGAGE,5,EDUCATION,A,25000,7.9,0,0.19,N,5,5,7.9
28,131040,MORTGAGE,0,VENTURE,C,10000,13.35,0,0.08,Y,10,0,13.35
28,132000,MORTGAGE,5,DEBTCONSOLIDATION,B,25000,9.99,0,0.19,N,10,5,9.99
